COD. COLEGIO, REGIONAL, PROVINCIA, DISTRITO, CORREGIMIENTO, NOMBRE COLEGIO,ÁREA,PROGRAMAS, TIPO,total_passed,total_failed,total_deserted,pass_percent
4048,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,RUFINA ALFARO,ESC. BILINGÜE PADRE XAVIER VILLANUEVA,URBANA,PRIMARIA UNIGRADO,OFICIAL,385,0,24,0.941320293
4049,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO FRÍAS,ESC. REPUBLICA DE POLONIA,URBANA,PRIMARIA UNIGRADO,OFICIAL,435,3,6,0.97972973
4050,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,ARNULFO ARIAS,ESC. BILINGÜE MARTIN LUTHER KING,URBANA,PRIMARIA UNIGRADO,OFICIAL,831,18,0,0.978798587
4061,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,RUFINA ALFARO,ESC. CERRO VIENTO RURAL,URBANA,PRIMARIA MULTIGRADO,OFICIAL,200,0,0,1
4062,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,RUFINA ALFARO,C.E.B.G. BILINGÜE GABRIEL LEWIS GALINDO,URBANA,PRIMARIA UNIGRADO,OFICIAL,336,9,3,0.965517241
4063,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,RUFINA ALFARO,ESC. BILINGÜE PEDRO J. AMEGLIO,URBANA,PRIMARIA UNIGRADO,OFICIAL,582,0,0,1
4064,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,JOSÉ DOMINGO ESPINAR,C.E.B.G. BILINGÜE ESTADO DE ISRAEL,URBANA,PRIMARIA UNIGRADO,OFICIAL,1133,3,0,0.997359155
4065,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,JOSÉ DOMINGO ESPINAR,C.E.B.G. BILINGÜE JOSÉ DOMINGO ESPINAR,URBANA,PRIMARIA UNIGRADO,OFICIAL,598,14,1,0.975530179
4066,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,MATEO ITURRALDE,ESC. BILINGÜE REPUBLICA DE COLOMBIA,URBANA,PRIMARIA UNIGRADO,OFICIAL,729,1,6,0.99048913
4076,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,VICTORIANO LORENZO,C.E.B.G. BILINGÜE REPUBLICA DE ALEMANIA,URBANA,PRIMARIA UNIGRADO,OFICIAL,506,66,4,0.878472222
