year,CODIGO,NOMBRE,REGION,APROBT,,
2014,,EAST SIDE HIGH SCHOOL,ALAJUELA,131,,
2014,4012,LICEO CARRILLOS DE POAS,ALAJUELA,283,,
2014,3998,COLEGIO DE TABARCIA,PURISCAL,282,,
2014,4104,COLEGIO BOCAS DE NOSARA,NICOYA,226,,
2014,,CENTRO EDUCATIVO NUESTRA SEÑORA DE,HEREDIA,152,,
2014,4148,LICEO AGUAS CLARAS,ZONA NORTE-NORTE,177,,
2014,4149,LICEO KATIRA,ZONA NORTE-NORTE,240,,
2014,4147,LICEO BRASILIA,ZONA NORTE-NORTE,88,,
2014,3979,LICEO TEODORO PICADO,SAN JOSE CENTRAL,501,,
2014,3977,LICEO SAN ANTONIO,SAN JOSE NORTE,468,,
2014,,BILINGÜE LA SABANA,SAN JOSE OESTE,79,,
2014,,INTEGRAL SAN JORGE,SAN JOSE NORTE,63,,
2014,,INSTITUTO PROFESIONAL FEMENINO LA P,SAN JOSE NORTE,13,,
2014,,CAMPESTRE,SAN JOSE NORTE,121,,
2014,,BILINGÜE JORGE VOLIO JIMENEZ,CARTAGO,295,,
2014,4061,LICEO DE CORRALILLO,CARTAGO,317,,
2014,4064,COLEGIO FRANCISCA CARRASCO JIMENEZ,CARTAGO,315,,
2014,4062,LICEO OROSI,CARTAGO,49,,
2014,,FORMATIVO NUEVO MILENIO,ALAJUELA,88,,
2014,4004,LICEO BORUCA,GRANDE DE TERRABA,145,,
2014,,SAINT PETERS HIGH SCHOOL,SAN JOSE CENTRAL,74,,
2014,,SAINT VALENTINE,SAN JOSE CENTRAL,52,,
2014,,SANTA MARGARITA,HEREDIA,131,,
2014,,COLEGIO VICTORIA SCHOOL,SAN JOSE NORTE,111,,
2014,4144,COLEGIO DE JIMÉNEZ,GUAPILES,515,,
2014,4143,LICEO DUACARÍ,GUAPILES,224,,
2014,,ATLANTIC COLLEGE,LIMON,44,,
2014,4059,LICEO SAN DIEGO,CARTAGO,314,,
2014,4047,LICEO CHACHAGUA,OCCIDENTE,378,,
2014,4043,LICEO PAVON,SAN CARLOS,401,,
2014,,SANTA SOFÍA COLEGIO BILINGÜE,PUNTARENAS,134,,
2014,4015,COLEGIO AMBIENTALISTA EL ROBLE,ALAJUELA,758,,
2014,4013,COLEGIO TUETAL NORTE,ALAJUELA,384,,
2014,4014,LICEO SAN ROQUE,ALAJUELA,528,,
2014,4112,COLEGIO SAN RAFAEL,CAÑAS,183,,
2014,6475,NOCTURNO DE BAGACES,LIBERIA,294,,
2014,5079,LICEO VILLARREAL,SANTA CRUZ,447,,
2014,,COLEGIO HUMANISTA BILINGÜE DEL MONT,HEREDIA,83,,
2014,,YURUSTI,HEREDIA,176,,
