year,CODIGO,NOMBRE,REGION,enrolled,passed,pass_rate
2020.0,4087.0,EXPERIMENTAL BILINGÜE DE BELEN,HEREDIA,1122,1119,0.9973262032085561
2020.0,4079.0,LICEO REGIONAL DE FLORES,HEREDIA,1491,1489,0.9986586183769283
2020.0,4082.0,LICEO MARIO VINDAS SALAZAR,HEREDIA,843,826,0.9798339264531435
2020.0,4193.0,C.T.P. PUERTO VIEJO,SARAPIQUI,1040,1021,0.9817307692307692
2020.0,0.0,SANTA ANA,LIBERIA,337,337,1.0
2020.0,4194.0,C.T.P. LIBERIA,LIBERIA,1257,1154,0.9180588703261734
2020.0,4102.0,INSTITUTO DE GUANACASTE,LIBERIA,1229,1229,1.0
2020.0,4103.0,LICEO LABORATORIO DE LIBERIA,LIBERIA,732,729,0.9959016393442623
2020.0,4198.0,C.T.P. DE NICOYA,NICOYA,886,868,0.9796839729119639
2020.0,4105.0,LICEO DE NICOYA,NICOYA,1112,1109,0.9973021582733813
2020.0,4199.0,C.T.P. LA MANSION,NICOYA,492,492,1.0
2020.0,4200.0,C.T.P. DE CORRALILLO,NICOYA,394,388,0.9847715736040609
2020.0,4108.0,"LICEO SANTA CRUZ, CLIMACO A. PEREZ",SANTA CRUZ,1497,1496,0.9993319973279893
2020.0,4203.0,C.T.P. DE SANTA CRUZ,SANTA CRUZ,385,375,0.974025974025974
2020.0,4202.0,C.T.P. 27 DE ABRIL,SANTA CRUZ,629,629,1.0
2020.0,4205.0,C.T.P. DE CARTAGENA,SANTA CRUZ,507,507,1.0
2020.0,4204.0,C.T.P. SANTA BARBARA,SANTA CRUZ,194,194,1.0
2020.0,4101.0,COLEGIO DE BAGACES,LIBERIA,862,858,0.9953596287703016
2020.0,4195.0,C.T.P. FORTUNA DE BAGACES,LIBERIA,453,453,1.0
2020.0,4201.0,C.T.P. CARRILLO,SANTA CRUZ,725,724,0.9986206896551724
2020.0,4206.0,C.T.P. SARDINAL,SANTA CRUZ,812,812,1.0
2020.0,4111.0,LICEO MIGUEL ARAYA VENEGAS,CAÑAS,918,877,0.9553376906318083
2020.0,4110.0,LICEO MAURILIO ALVARADO VARGAS,CAÑAS,829,808,0.9746682750301568
2020.0,4196.0,C.T.P. NANDAYURE,NICOYA,490,484,0.9877551020408163
2020.0,4100.0,EXPERIMENTAL BILINGÜE DE LA CRUZ,LIBERIA,332,332,1.0
2020.0,4197.0,C.T.P. HOJANCHA,NICOYA,445,437,0.9820224719101124
2020.0,0.0,COLEGIO MONSERRAT,PUNTARENAS,45,45,1.0
2020.0,4116.0,LICEO DIURNO JOSE MARTI,PUNTARENAS,1052,1052,1.0
2020.0,4119.0,LICEO CHACARITA,PUNTARENAS,1007,933,0.9265143992055611
2020.0,4209.0,C.T.P. DE PUNTARENAS,PUNTARENAS,1346,1309,0.9725111441307578
2020.0,4208.0,C.T.P. DE JICARAL,PENINSULAR,618,611,0.988673139158576
2020.0,4210.0,C.T.P. DE PAQUERA,PENINSULAR,378,377,0.9973544973544973
2020.0,4212.0,C.T.P. DE SANTA ELENA,PUNTARENAS,413,413,1.0
2020.0,4211.0,C.T.P. DE COBANO,PENINSULAR,488,467,0.9569672131147541
2020.0,4117.0,LICEO DE ESPARZA,PUNTARENAS,1220,1138,0.9327868852459016
2020.0,4170.0,C.T.P. DE BUENOS AIRES,GRANDE DE TERRABA,807,787,0.9752168525402726
2020.0,4118.0,LICEO DE MIRAMAR,PUNTARENAS,904,904,1.0
