AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,pass_percent,,,,,
2020,103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,310,5,0.993975904,,,,,
2020,106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,5,4,0,1,110,2,0.87037037,,,,,
2020,106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,5,4,0,1,310,5,0.875,,,,,
2020,106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,5,4,0,1,510,7,0.92481203,,,,,
2020,106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,5,4,0,1,810,7,0.944444444,,,,,
2020,107,4,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.835294118,,,,,
2020,107,4,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,310,5,0.913793103,,,,,
2020,108,2,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,510,7,0.940298507,,,,,
2020,108,2,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,610,7,0.953781513,,,,,
2020,109,0,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.9390681,,,,,
2020,109,0,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,310,5,0.924137931,,,,,
2020,109,0,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,410,7,0.969465649,,,,,
